Pallet,Weight,Profit
1,44,7
2,28,20
3,18,16
4,98,45
5,91,45
6,56,8
7,52,47
8,24,20
9,70,37
10,71,8
11,28,50
12,51,36
13,68,27
14,70,21
15,11,19
16,11,28
17,34,37
18,16,37
19,11,32
20,47,8
21,39,8
22,94,40
23,96,27
24,59,20
25,75,44
26,10,34
27,80,38
28,67,11
29,31,6
30,91,46
31,42,21
32,26,29
33,11,6
34,80,50
35,44,25
36,22,24
37,77,22
38,52,26
39,85,30
40,69,7
41,75,44
42,39,36
43,74,32
44,48,25
45,21,24
46,71,32
47,23,35
48,14,10
49,70,12
50,99,9
51,10,29
52,10,15
53,51,46
54,79,18
55,38,19
56,91,25
57,24,6
58,67,39
59,29,31
60,62,28
61,78,35
62,12,8
63,64,41
64,79,25
65,99,20
66,47,14
67,84,44
68,60,25
69,41,35
70,41,22
71,90,32
72,84,10
73,80,31
74,17,15
75,68,15
76,39,19
77,78,6
78,82,43
79,39,22
80,40,6
81,85,13
82,65,10
83,19,15
84,64,13
85,43,42
86,74,37
87,21,28
88,78,45
89,60,28
90,10,6
91,66,39
92,39,47
93,53,7
94,43,16
95,56,23
96,77,11
97,35,36
98,50,5
99,92,25
100,14,39
101,53,23
102,74,11
103,12,39
104,69,46
105,59,48
106,66,28
107,76,47
108,100,11
109,30,49
110,63,27
111,51,8
112,45,48
113,45,43
114,28,49
115,70,17
116,84,22
117,41,37
118,76,11
119,52,7
120,34,47
121,99,27
122,16,37
123,40,31
124,59,44
125,87,15
126,30,42
127,55,43
128,46,14
129,18,37
130,15,41
131,81,47
132,87,8
133,67,44
134,14,11
135,31,6
136,95,24
137,55,10
138,45,20
139,73,40
140,100,20
141,47,36
142,89,20
143,60,16
144,71,37
145,90,12
146,50,45
147,86,38
148,40,40
149,24,5
150,64,17
151,82,11
152,58,18
153,91,13
154,16,38
155,55,11
156,12,21
157,96,13
158,55,37
159,25,49
160,100,39
161,38,10
162,65,5
163,78,11
164,69,20
165,25,27
166,70,24
167,56,24
168,28,10
169,40,10
170,57,46
171,24,18
172,51,41
173,22,48
174,32,22
175,84,34
176,95,50
177,69,25
178,46,46
179,38,36
180,43,35
181,14,23
182,72,37
183,38,16
184,73,30
185,26,35
186,94,26
187,69,15
188,75,15
189,64,49
190,69,18
191,46,9
192,13,43
193,25,45
194,88,41
195,25,5
196,45,9
197,56,47
198,82,41
199,75,19
200,12,10
201,51,37
202,72,46
203,77,21
204,73,19
205,15,42
206,18,32
207,92,40
208,14,27
209,22,35
210,27,49
211,44,45
212,86,48
213,20,48
214,15,50
215,76,26
216,28,36
217,76,24
218,24,42
219,67,15
220,52,50
221,60,27
222,61,46
223,70,16
224,93,7
225,71,20
226,48,43
227,20,47
228,29,8
229,90,19
230,22,24
231,66,32
232,25,49
233,41,20
234,96,28
235,23,19
236,99,27
237,74,32
238,72,49
239,37,9
240,75,28
241,53,24
242,73,42
243,11,17
244,94,42
245,27,10
246,80,28
247,69,41
248,56,46
249,88,19
250,25,29
251,82,36
252,11,19
253,57,30
254,93,28
255,57,10
256,82,27
257,15,8
258,54,40
259,54,41
260,64,9
261,85,34
262,33,44
263,39,6
264,71,30
265,76,31
266,90,45
267,87,31
268,28,26
269,26,30
270,21,18
271,82,23
272,31,26
273,100,48
274,81,31
275,64,25
276,59,31
277,28,13
278,61,18
279,64,37
280,60,9
281,84,39
282,43,19
283,31,49
284,11,36
285,30,26
286,28,49
287,31,34
288,20,6
289,32,7
290,100,34
291,95,46
292,54,44
293,27,16
294,19,5
295,47,5
296,91,20
297,72,47
298,34,49
299,36,11
300,17,32
301,78,25
302,46,35
303,79,17
304,26,34
305,73,47
306,85,24
307,66,28
308,99,41
309,47,44
310,61,17
311,57,47
312,56,12
313,73,22
314,66,11
315,44,10
316,33,14
317,43,18
318,85,6
319,81,9
320,43,26
321,22,31
322,60,46
323,66,26
324,82,40
325,82,25
326,75,28
327,47,9
328,18,30
329,28,15
330,98,28
331,29,39
332,63,33
333,96,22
334,42,27
335,85,28
336,78,7
337,41,10
338,43,18
339,46,49
340,47,21
341,63,7
342,73,49
343,93,16
344,93,37
345,74,49
346,28,36
347,75,35
348,56,10
349,95,32
350,58,30
351,21,35
352,37,47
353,44,47
354,26,21
355,34,33
356,11,14
357,82,42
358,98,42
359,70,10
360,57,30
361,42,41
362,82,11
363,27,18
364,23,10
365,62,28
366,83,26
367,57,40
368,15,21
369,26,13
370,13,50
371,96,7
372,60,20
373,38,19
374,51,34
375,81,50
376,75,6
377,94,43
378,23,19
379,51,49
380,26,28
381,10,42
382,93,11
383,48,26
384,30,32
385,19,22
386,81,41
387,27,43
388,26,22
389,28,42
390,64,13
391,18,34
392,34,13
393,16,33
394,18,9
395,72,18
396,41,34
397,94,49
398,46,11
399,51,46
400,26,46
401,54,45
402,72,7
403,90,24
404,79,31
405,49,24
406,54,9
407,27,30
408,50,40
409,16,11
410,96,36
