Pallet,Weight,Profit
1,70,7
2,61,24
3,77,44
4,20,42
5,69,48
6,27,16
7,88,20
8,42,31
9,91,22
10,22,6
11,20,14
12,69,50
13,22,47
14,79,39
15,49,39
16,79,29
17,18,14
18,73,40
19,46,45
20,72,24
21,89,24
22,93,27
23,64,32
24,49,40
25,53,34
26,60,40
27,23,47
28,97,41
29,60,28
30,98,32
31,18,13
32,88,20
33,18,44
34,24,7
35,64,18
36,25,41
37,90,50
38,35,18
39,54,36
40,49,19
41,25,31
42,25,32
43,59,27
44,57,20
45,35,18
46,14,39
47,17,11
48,73,28
49,15,46
50,86,13
51,70,11
52,83,38
53,76,6
54,50,34
55,78,37
56,91,44
57,56,38
58,34,13
59,50,44
60,91,24
61,48,29
62,28,21
63,32,29
64,53,20
65,98,26
66,94,44
67,91,30
68,91,33
69,17,34
70,64,33
71,33,49
72,25,50
73,30,14
74,85,12
75,92,36
76,36,32
77,26,17
78,78,43
79,94,12
80,96,22
81,48,36
82,100,34
83,41,12
84,92,13
85,77,6
86,58,12
87,71,44
88,79,16
89,27,35
90,56,32
91,56,43
92,13,36
93,63,50
94,88,17
95,77,50
96,62,41
97,58,13
98,99,31
99,42,9
100,40,20
101,68,30
102,29,22
103,82,26
104,24,26
105,46,38
106,21,19
107,60,44
108,77,14
109,87,35
110,39,26
111,10,25
112,95,12
113,71,28
114,66,28
115,44,27
116,43,39
117,31,22
118,42,24
119,71,50
120,93,45
121,97,32
122,99,28
123,63,8
124,36,9
125,36,32
126,65,26
127,89,44
128,21,14
129,33,18
130,44,32
131,30,22
132,74,9
133,67,43
134,86,47
135,80,29
136,92,17
137,16,18
138,69,18
139,30,50
140,94,35
141,49,29
142,76,41
143,48,39
144,37,22
145,10,42
146,100,40
147,96,10
148,92,40
149,19,13
150,67,11
151,76,40
152,66,45
153,38,27
154,47,11
155,76,6
156,93,23
157,76,38
158,57,48
159,22,48
160,15,12
161,32,27
162,22,39
163,67,10
164,61,41
165,18,9
166,37,17
167,83,48
168,93,41
169,61,15
170,99,18
171,94,18
172,82,39
173,42,11
174,39,39
175,59,18
176,33,40
177,72,33
178,67,45
179,49,31
180,96,33
181,51,40
182,56,27
183,42,50
184,66,38
185,14,50
186,45,25
187,79,27
188,62,48
189,30,37
190,22,38
191,30,43
192,25,33
193,21,47
194,18,21
195,55,22
196,78,45
197,44,29
198,45,25
199,87,29
200,78,21
201,17,31
202,72,34
203,49,42
204,25,47
205,81,12
206,95,19
207,97,38
208,71,21
209,95,13
210,20,39
211,51,16
212,42,24
213,51,48
214,96,42
215,30,8
216,13,39
217,52,6
218,84,49
219,21,45
220,97,39
221,41,10
222,95,12
223,89,13
224,57,28
225,44,36
226,91,24
227,47,12
228,15,35
229,14,6
230,72,45
231,44,48
232,86,21
233,67,40
234,42,18
235,67,28
236,58,43
237,99,8
238,62,13
239,22,25
240,18,39
241,78,5
242,71,44
243,44,37
244,89,30
245,67,11
246,35,46
247,35,6
248,16,15
249,89,7
250,99,21
251,90,26
252,67,13
253,18,19
254,91,18
255,22,33
256,23,8
257,96,33
258,82,22
259,45,36
260,54,8
261,96,13
262,42,47
263,53,21
264,12,50
265,32,29
266,21,46
267,73,29
268,14,50
269,71,12
270,33,41
271,28,30
272,72,28
273,75,19
274,30,47
275,53,23
276,81,20
277,93,5
278,33,45
279,80,50
280,62,25
281,52,31
282,67,44
283,44,47
284,71,6
285,21,14
286,54,24
287,92,48
288,12,9
289,13,33
290,18,50
291,77,32
292,85,25
293,10,10
294,20,14
295,44,32
296,94,48
297,91,6
298,38,6
299,33,23
300,34,21
301,33,19
302,91,19
303,16,32
304,82,30
305,24,20
306,56,40
307,52,23
308,25,36
309,52,34
310,27,43
311,99,18
312,88,18
313,32,29
314,59,10
315,59,17
316,35,37
317,45,8
318,89,32
319,89,22
320,16,25
321,40,24
322,63,7
323,99,28
324,79,16
325,14,14
326,28,35
327,94,26
328,24,33
329,48,45
330,98,28
331,60,12
332,40,6
333,93,49
334,66,37
335,62,39
336,47,26
337,21,25
338,93,40
339,27,20
340,85,10
341,80,43
