Pallet,Weight,Profit
1,62,37
2,80,31
3,30,48
4,89,27
5,37,33
6,73,24
7,42,18
8,32,33
9,68,20
10,98,37
11,69,42
12,56,12
13,75,43
14,77,12
15,16,39
16,83,47
17,46,42
18,52,7
19,73,28
20,52,26
21,93,30
22,31,17
23,59,49
24,18,10
25,64,11
26,14,50
27,10,10
28,81,21
29,42,5
30,65,11
31,55,12
32,27,47
33,74,47
34,23,47
35,12,43
36,91,24
37,29,37
38,79,30
39,41,24
40,53,50
41,40,18
42,91,44
43,17,35
44,94,44
45,98,5
46,22,36
47,71,35
48,96,48
49,13,47
50,31,14
51,52,19
52,25,40
53,56,35
54,69,48
55,56,21
56,65,32
57,94,8
58,68,15
59,98,24
60,70,33
61,41,16
62,18,15
63,29,17
64,17,46
65,52,20
66,11,12
67,85,15
68,32,18
69,29,50
70,12,40
71,45,22
72,71,38
73,94,27
74,61,40
75,75,48
76,25,22
77,96,36
78,96,16
79,21,37
80,100,8
81,44,6
82,38,12
83,35,6
84,57,23
85,46,31
86,15,26
87,47,38
88,15,10
89,82,49
90,26,38
91,10,39
92,66,47
93,93,28
94,35,46
95,62,47
96,71,42
97,52,6
98,95,11
99,47,6
100,74,32
101,80,18
102,83,30
103,62,28
104,51,23
105,34,31
106,30,33
107,39,49
108,63,47
109,63,22
110,77,28
111,23,6
112,89,24
113,24,6
114,40,23
115,38,10
116,65,33
117,19,33
118,90,13
119,93,41
120,11,14
121,67,25
122,56,15
123,86,8
124,51,19
125,98,6
126,21,39
127,84,21
128,51,40
129,69,9
130,67,34
131,55,44
132,67,41
133,10,23
134,21,37
135,37,28
136,29,12
137,46,16
138,25,26
139,27,38
140,65,18
141,32,10
142,26,45
143,53,11
144,86,24
145,83,44
146,28,10
147,48,18
148,53,28
149,53,32
150,86,38
151,29,17
152,75,5
153,43,17
154,97,26
155,74,33
156,53,28
157,46,23
158,83,24
159,100,29
160,84,37
161,57,33
162,66,44
163,87,25
164,81,41
165,40,20
166,30,32
167,52,9
168,48,13
169,24,10
170,52,39
171,86,13
172,30,43
173,89,26
174,67,34
175,66,21
176,45,8
177,39,47
178,32,5
179,76,33
180,96,17
181,39,38
182,62,5
183,55,39
184,30,41
185,30,28
186,14,25
187,38,6
188,88,35
189,74,41
190,68,35
191,85,5
192,79,5
193,52,31
194,90,40
195,33,11
196,42,12
197,93,25
198,79,24
199,74,10
200,78,22
201,21,5
202,98,16
203,87,42
204,11,44
205,77,43
206,33,37
207,75,27
208,97,43
209,30,24
210,12,43
211,100,48
212,40,34
213,76,7
214,100,16
215,76,24
216,75,7
217,93,42
218,69,15
219,94,19
220,45,41
221,43,23
222,23,45
223,33,21
224,58,12
225,83,6
226,22,36
227,61,37
228,30,7
229,30,31
230,24,13
231,73,19
232,55,23
233,62,5
234,99,26
235,71,25
236,86,30
237,45,6
238,49,30
239,51,34
240,54,10
241,67,41
242,42,15
243,50,46
244,26,44
245,68,7
246,27,50
247,36,44
248,17,38
249,82,9
250,19,23
251,30,33
252,19,18
253,11,9
254,11,41
255,21,45
256,51,29
257,77,17
258,83,32
259,88,30
260,68,17
261,24,38
262,80,40
263,40,29
264,52,37
265,57,22
266,75,45
267,21,46
268,66,40
269,28,32
270,24,32
271,68,9
272,12,37
273,61,36
274,44,7
275,20,8
276,14,8
277,18,44
278,76,42
279,78,33
280,25,19
281,71,50
282,38,39
283,15,11
284,24,32
285,99,10
286,77,35
287,51,38
288,71,19
289,80,43
290,88,32
291,59,19
292,12,41
293,35,19
294,72,7
295,59,35
296,44,49
297,54,11
298,37,23
299,62,50
300,57,25
301,76,27
302,10,12
303,26,36
304,76,41
305,26,30
306,75,24
307,53,27
308,86,29
309,55,6
310,12,40
311,78,19
312,39,23
313,62,38
314,18,32
315,59,11
316,34,39
317,54,39
318,10,50
319,69,12
320,99,36
321,62,46
322,37,10
323,51,36
324,15,29
325,49,32
326,35,8
327,100,37
328,48,30
329,95,50
330,78,47
331,15,22
332,54,46
333,52,20
334,23,44
335,18,28
336,86,21
337,87,42
338,97,15
