Pallet,Weight,Profit
1,63,43
2,20,44
3,13,10
4,17,16
5,56,36
6,73,40
7,76,28
8,27,20
9,49,35
10,20,41
11,45,13
12,91,26
13,88,22
14,55,31
15,71,45
16,21,12
17,57,47
18,43,12
19,21,8
20,97,32
21,16,48
22,59,10
23,80,19
24,62,47
25,13,16
26,93,47
27,58,7
28,95,18
29,70,11
30,89,43
31,75,37
32,81,9
33,97,38
34,82,6
35,19,12
36,46,23
37,42,7
38,56,48
39,91,27
40,79,19
41,13,6
42,32,17
43,18,21
44,43,21
45,70,6
46,77,32
47,27,20
48,17,15
49,35,40
50,29,46
51,47,20
52,45,35
53,21,42
54,70,25
55,99,48
56,49,19
57,20,16
58,58,8
59,42,19
60,82,23
61,14,10
62,57,42
63,24,37
64,38,42
65,62,50
66,86,10
67,82,48
68,54,25
69,89,44
70,12,34
71,65,43
72,49,36
73,32,46
74,22,20
75,34,35
76,34,28
77,30,18
78,57,27
79,44,39
80,92,47
81,34,40
82,48,12
83,18,32
84,96,46
85,78,35
86,11,32
87,92,10
88,11,14
89,39,45
90,94,34
