Pallet,Weight,Profit
1,31,47
2,29,29
3,75,44
4,75,13
5,25,46
6,48,14
7,39,42
8,82,20
9,70,14
10,91,41
11,69,49
12,70,38
13,28,49
14,51,48
15,31,50
16,70,18
17,59,35
18,44,43
19,31,35
20,43,14
21,10,31
22,30,20
23,17,45
24,36,24
25,63,11
26,99,19
27,59,10
28,48,9
29,55,50
30,86,49
31,70,18
32,27,11
33,87,35
34,54,24
35,48,12
36,81,15
37,27,50
38,99,28
39,20,23
40,24,18
41,69,17
42,85,16
43,42,23
44,42,18
45,24,46
46,63,14
47,25,49
48,34,25
49,29,35
50,29,28
51,14,32
52,14,22
53,83,44
54,80,39
55,97,47
56,45,22
57,40,9
58,69,48
59,22,22
60,57,14
61,53,47
62,98,43
63,98,34
64,62,46
65,86,44
66,34,26
67,34,50
68,52,48
69,13,45
70,26,50
71,66,27
72,32,23
73,97,17
74,37,49
75,29,36
76,72,9
77,28,35
78,58,50
79,13,48
80,68,8
81,59,50
82,40,18
83,70,48
84,89,48
85,73,39
86,81,28
87,61,20
88,48,10
89,30,16
90,74,49
91,75,14
92,46,18
93,67,17
94,16,38
