Pallet,Weight,Profit
1,93,25
2,12,11
3,13,34
4,95,49
5,81,9
6,54,50
7,37,23
8,53,16
9,73,26
10,46,33
11,13,10
12,21,41
13,58,32
14,88,46
15,86,8
16,86,36
17,34,36
18,68,39
19,33,50
20,14,23
21,100,24
22,14,24
23,24,47
24,19,20
25,41,39
26,56,21
27,80,7
28,71,38
29,71,22
30,78,14
31,20,27
32,33,11
33,96,49
34,87,20
35,47,25
36,30,35
37,31,37
38,46,8
39,74,27
40,82,43
41,65,37
42,78,26
43,43,35
44,95,40
45,87,10
46,10,25
47,12,13
48,85,22
49,61,24
50,54,34
51,35,23
52,51,6
53,83,34
54,81,22
55,97,39
56,22,40
57,30,31
58,53,38
59,43,44
60,44,29
61,27,21
62,65,43
63,43,13
64,34,43
65,37,46
66,53,41
67,22,39
68,29,48
69,59,39
70,53,14
71,56,21
72,72,39
73,84,21
74,92,48
75,19,11
76,29,33
77,77,23
78,74,19
79,30,21
80,99,33
81,36,26
82,55,50
83,10,46
84,39,35
85,100,19
86,33,45
87,43,34
88,90,50
89,29,10
90,13,41
91,89,8
92,22,28
93,62,21
94,35,27
95,40,16
96,26,42
97,75,49
98,47,10
99,54,34
100,30,39
101,83,42
102,74,40
103,85,37
104,34,23
105,66,47
106,11,18
107,61,18
108,54,24
109,17,24
110,26,21
111,30,44
112,11,43
113,63,35
114,32,39
115,35,23
116,72,43
117,80,12
118,77,22
119,58,42
120,69,33
121,39,7
122,86,5
123,42,34
124,45,40
125,68,30
126,71,38
127,61,9
128,56,30
129,20,43
130,49,41
131,82,21
132,61,23
133,54,36
134,87,34
135,48,30
136,40,35
137,24,15
138,49,49
139,47,13
140,66,6
141,77,48
142,98,29
143,95,46
144,28,14
145,43,39
146,72,20
147,91,46
148,97,26
149,56,30
150,56,44
151,17,38
152,83,8
153,39,36
154,80,36
155,13,39
156,54,38
157,23,19
158,13,5
159,47,48
160,85,46
161,44,13
162,64,7
163,92,50
164,26,8
165,95,28
166,45,34
167,74,13
168,15,47
169,24,27
170,53,34
171,34,47
172,54,19
173,92,31
174,84,13
175,81,18
176,27,28
177,53,33
178,28,25
179,33,40
180,75,50
181,44,28
182,82,6
183,70,39
184,46,23
185,99,24
186,44,30
187,79,32
188,77,46
189,71,14
190,83,49
191,37,11
192,40,30
193,58,14
194,75,29
195,84,42
196,72,34
197,90,23
198,57,41
199,67,7
200,17,40
201,64,39
202,30,49
203,36,16
204,84,49
205,76,38
206,98,17
207,73,44
208,82,30
209,97,50
210,68,9
211,15,22
212,100,36
213,19,10
214,75,26
215,89,33
216,20,23
217,79,41
218,78,26
219,97,25
220,56,33
221,26,46
222,15,30
223,90,10
224,85,14
225,79,40
226,56,9
227,86,39
228,51,7
229,84,14
230,47,25
231,23,43
232,30,30
233,10,47
234,84,13
235,56,28
236,84,48
237,80,18
238,52,40
239,33,13
240,94,48
241,76,31
242,97,20
243,61,50
244,90,17
245,69,35
246,75,34
247,10,49
248,70,9
249,28,11
250,43,6
251,91,5
252,24,49
253,62,24
254,13,6
255,90,47
256,72,30
257,84,35
258,72,32
259,18,41
260,92,27
261,99,38
262,95,19
263,40,22
264,75,14
265,78,5
266,82,43
267,77,14
268,18,48
269,61,32
270,56,45
271,15,30
272,99,38
273,94,49
274,71,48
275,96,34
276,28,44
277,36,16
278,30,49
279,71,8
280,23,47
281,91,23
282,65,28
283,11,49
284,55,42
285,21,25
286,94,38
287,16,19
288,91,11
289,79,15
