Pallet,Weight,Profit
1,100,23
2,81,41
3,41,48
4,23,15
5,94,6
6,72,7
7,93,34
8,33,7
9,21,27
10,85,30
11,28,15
12,46,40
13,71,18
14,59,29
15,15,40
16,75,31
17,70,11
18,73,33
19,24,15
20,64,17
21,39,31
22,58,17
23,81,31
24,87,27
25,49,7
26,57,32
27,34,37
28,17,31
29,51,26
30,42,12
31,27,39
32,11,43
33,26,5
34,33,34
35,70,46
36,28,19
37,79,31
38,41,37
39,89,16
40,56,27
41,73,22
42,40,43
43,10,19
44,16,7
45,33,15
46,29,37
47,39,38
48,50,10
49,91,15
50,80,16
51,43,8
52,54,25
53,83,39
54,82,25
55,44,16
56,65,10
57,88,5
58,71,20
59,41,21
60,65,15
61,87,36
62,62,27
63,61,10
64,20,11
65,78,19
66,41,28
67,13,49
68,14,9
69,40,9
70,37,11
71,19,20
72,94,12
73,13,29
74,62,24
75,77,5
76,10,30
77,24,21
78,99,7
79,43,50
80,20,20
81,11,17
82,25,33
83,21,45
84,27,46
85,10,8
86,28,48
87,15,7
88,65,16
89,72,38
90,77,47
91,24,47
92,52,26
93,10,43
94,56,42
95,26,35
96,30,19
97,52,41
98,33,47
99,33,42
100,88,5
101,40,49
102,18,32
103,79,11
104,25,47
105,80,49
106,77,36
107,42,46
108,61,34
109,96,11
110,47,33
111,40,48
112,50,26
113,73,41
114,53,50
115,85,5
116,24,9
117,91,28
118,60,5
119,86,49
120,81,8
121,73,29
122,93,19
123,58,29
124,15,13
125,95,9
126,81,13
127,78,35
128,15,31
129,66,5
130,27,48
131,71,24
132,44,43
133,32,10
134,46,33
135,68,36
136,10,11
137,87,45
138,50,20
139,18,43
140,60,48
141,57,49
