Pallet,Weight,Profit
1,42,34
2,57,9
3,51,6
4,54,42
5,18,36
6,58,37
7,12,48
8,56,6
9,89,21
10,38,30
11,22,11
12,65,48
13,76,34
14,38,22
15,85,33
16,59,25
17,47,45
18,49,24
19,88,50
20,11,7
21,85,31
22,53,39
23,24,9
24,90,23
25,73,20
26,23,8
27,58,22
28,32,49
29,96,25
30,94,35
31,38,23
32,83,18
33,37,34
34,58,14
35,20,27
36,18,39
37,13,18
38,89,34
39,66,34
40,54,19
41,40,26
42,50,41
43,95,47
44,29,35
45,54,12
46,78,33
47,45,28
48,99,18
49,68,5
50,76,38
51,97,43
52,97,23
53,62,47
54,99,25
55,92,43
56,98,28
57,31,26
58,91,38
59,75,10
60,76,30
61,70,26
62,43,9
63,76,6
64,89,29
65,14,42
66,79,49
67,32,22
68,60,18
69,76,33
70,66,6
71,54,13
72,18,38
73,30,16
74,77,10
75,47,31
76,80,9
77,64,34
78,73,10
79,17,17
80,80,19
81,20,5
82,23,35
83,100,21
84,30,11
85,21,28
86,52,12
87,46,26
88,17,38
89,78,26
90,75,21
91,17,24
92,11,27
93,25,18
94,40,18
95,61,29
96,22,27
97,95,25
98,53,5
99,59,41
100,40,25
101,60,20
102,11,14
103,60,45
104,63,29
105,60,49
106,14,27
107,76,34
108,91,25
109,77,33
110,12,48
111,34,46
112,18,27
113,21,32
114,65,39
115,61,43
116,78,40
117,55,13
118,96,24
119,77,6
120,28,38
121,33,36
122,57,33
123,96,39
124,51,50
125,14,29
126,84,36
127,50,14
128,45,35
129,15,48
130,69,27
131,81,9
132,89,41
133,39,33
134,59,12
135,58,42
136,26,23
137,61,35
138,36,41
139,55,25
140,11,19
141,22,33
142,69,11
143,26,40
144,59,13
145,38,15
146,72,36
147,25,7
148,83,49
149,49,9
150,76,10
151,95,50
152,38,44
153,86,12
154,21,18
155,26,13
156,61,35
157,84,37
158,82,18
159,61,50
160,72,48
161,24,36
162,58,43
163,33,18
164,91,6
165,32,48
166,68,48
167,84,36
168,66,26
169,26,10
170,26,9
171,16,14
172,93,41
173,84,13
174,37,32
175,32,50
176,22,23
177,37,20
178,42,43
179,79,48
180,85,43
181,84,15
182,45,17
183,84,11
184,30,13
185,89,20
186,43,31
187,10,28
188,11,28
189,87,24
190,100,9
191,40,23
192,45,9
193,37,20
194,21,44
195,35,37
196,25,50
197,13,35
198,57,28
199,64,38
200,52,49
201,29,9
202,49,34
203,85,15
204,34,14
205,36,37
206,62,50
207,69,33
208,74,42
209,89,13
210,18,37
211,52,35
212,54,22
213,44,35
214,15,18
215,21,35
216,97,13
217,62,22
218,72,6
219,35,16
220,49,40
221,34,7
222,74,48
223,28,28
224,69,37
225,31,15
226,51,39
227,89,25
228,14,45
229,76,21
230,61,26
231,16,17
232,42,28
233,36,31
234,41,28
235,67,37
236,69,35
237,83,43
238,17,27
239,70,32
240,42,10
241,43,37
242,23,5
243,98,40
244,15,13
245,95,44
246,85,50
247,90,41
248,60,25
249,20,26
250,44,7
251,32,28
252,76,18
253,13,26
254,38,25
255,21,23
256,50,38
257,87,50
258,84,40
259,21,7
260,24,21
261,44,23
262,51,17
263,62,41
264,21,41
265,85,49
266,52,16
267,76,49
268,57,33
269,72,29
270,67,24
271,18,33
272,81,32
273,76,35
274,77,31
275,97,7
276,81,36
277,40,5
278,40,35
279,25,43
280,88,44
281,41,38
282,77,6
283,93,35
284,49,8
285,62,21
286,79,33
287,16,31
288,73,9
289,98,16
290,57,50
291,84,23
292,13,34
293,90,20
294,31,34
295,12,14
296,34,49
297,96,10
298,44,45
299,14,19
300,77,47
301,47,34
302,47,14
303,78,21
304,91,11
305,93,33
306,92,49
307,91,24
308,83,19
309,28,37
310,71,21
311,69,49
312,13,41
313,95,17
314,19,50
315,70,18
316,29,16
